# Simulation 1 (Up to date)
# 532 data points written for 3 variables.
#
# Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CG location (cm)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
0.5,0.008,91.537
# Event GROUND_HIT occurred at t=67.652 seconds
# Event SIMULATION_END occurred at t=67.652 seconds
0.5,0.008,91.537
