Calibration (sys),Calibration (gyro),Calibration (accel),Calibration (mag),Spin (psi) [deg],Nutation (theta) [deg],Precession (phi) [deg],Angular velocity (x),Angular velocity (y),Angular velocity (z),Linear acceleration (x),Linear acceleration (y),Linear acceleration (z),Inertial acceleration (x),Inertial acceleration (y),Inertial acceleration (z),Acceleration (x),Acceleration (y),Acceleration (z),Gravity (x),Gravity (y),Gravity (z),Magnetometer (x),Magnetometer (y),Magnetometer (z),Quaternion (w),Quaternion (x),Quaternion (y),Quaternion (z),Pressure [Pa],Temperature [K],Altitude [m],Time [s]
calibration_sys,calibration_gyro,calibration_accel,calibration_mag,orientation_x,orientation_y,orientation_z,angular_velocity_x,angular_velocity_y,angular_velocity_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z,inertial_acceleration_x,inertial_acceleration_y,inertial_acceleration_z,acceleration_x,acceleration_y,acceleration_z,gravity_x,gravity_y,gravity_z,magnetometer_x,magnetometer_y,magnetometer_z,quaternion_w,quaternion_x,quaternion_y,quaternion_z,pressure,temperature,altitude,timestamp
3,3,3,3,0.0000,-6.2079,-144.0000,-0.0183,-0.0000,0.0000,-0.0000,0.9700,56.9304,4.1854,-5.7607,56.4917,-0.0000,2.0298,47.1878,0.0000,1.0598,-9.7426,-14.9574,-16.1066,-38.3330,0.308564,-0.016733,0.051498,-0.949661,97128.11,285.82,358.52,1.2286
3,3,3,3,0.0000,-6.2392,-144.0000,-0.0199,-0.0000,-0.0000,-0.0000,0.9731,57.0172,4.2109,-5.7958,56.5737,-0.0000,2.0382,47.2752,0.0000,1.0651,-9.7420,-14.9574,-16.0857,-38.3418,0.308559,-0.016817,0.051757,-0.949647,97106.05,285.81,360.41,1.2571
3,3,3,3,0.0000,-6.2730,-144.0000,-0.0214,-0.0000,-0.0000,-0.0000,0.9775,57.1035,4.2386,-5.8339,56.6548,-0.0000,2.0483,47.3621,0.0000,1.0708,-9.7414,-14.9574,-16.0631,-38.3512,0.308554,-0.016908,0.052037,-0.949632,97083.46,285.80,362.36,1.2857
3,3,3,3,0.0000,-6.3093,-144.0000,-0.0229,-0.0000,0.0000,0.0000,0.9832,57.1892,4.2685,-5.8751,56.7347,0.0000,2.0602,47.4485,0.0000,1.0770,-9.7407,-14.9574,-16.0388,-38.3613,0.308549,-0.017005,0.052337,-0.949615,97060.34,285.79,364.35,1.3143
3,3,3,3,0.0000,-6.3478,-144.0000,-0.0242,-0.0000,0.0000,0.0000,0.9903,57.2743,4.3007,-5.9194,56.8136,0.0000,2.0739,47.5343,0.0000,1.0835,-9.7399,-14.9574,-16.0129,-38.3721,0.308543,-0.017109,0.052657,-0.949598,97036.68,285.77,366.38,1.3429
3,3,3,3,0.0000,-6.3886,-144.0000,-0.0255,-0.0000,-0.0000,-0.0000,0.9989,57.3588,4.3350,-5.9666,56.8915,-0.0000,2.0893,47.6197,-0.0000,1.0905,-9.7392,-14.9573,-15.9856,-38.3834,0.308537,-0.017219,0.052995,-0.949579,97012.48,285.76,368.46,1.3714
3,3,3,3,-0.0000,-6.4314,-144.0000,-0.0267,-0.0000,-0.0000,-0.0000,1.0089,57.4534,4.3720,-6.0176,56.9788,-0.0000,2.1066,47.7151,-0.0000,1.0977,-9.7383,-14.9573,-15.9569,-38.3953,0.308530,-0.017334,0.053349,-0.949559,96987.74,285.75,370.59,1.4000
3,3,3,3,0.0000,-6.4760,-144.0000,-0.0277,-0.0000,-0.0000,-0.0000,1.0204,57.5945,4.4141,-6.0755,57.1119,-0.0000,2.1257,47.8570,0.0000,1.1053,-9.7375,-14.9573,-15.9270,-38.4077,0.308524,-0.017454,0.053719,-0.949538,96962.46,285.73,372.76,1.4286
3,3,3,3,0.0000,-6.5221,-144.0000,-0.0286,-0.0000,-0.0000,-0.0000,1.0333,57.7414,4.4585,-6.1366,57.2503,-0.0000,2.1464,48.0048,0.0000,1.1131,-9.7366,-14.9573,-15.8961,-38.4204,0.308517,-0.017579,0.054101,-0.949516,96936.65,285.72,374.99,1.4571
3,3,3,3,-0.0000,-6.5695,-144.0000,-0.0293,-0.0000,-0.0000,-0.0000,1.0476,57.8879,4.5045,-6.2000,57.3879,-0.0000,2.1688,48.1522,-0.0000,1.1212,-9.7356,-14.9573,-15.8643,-38.4335,0.308509,-0.017706,0.054494,-0.949494,96910.30,285.70,377.25,1.4857
